Region,TEMP_C,Year
MENA,22.550943060632896,1986
North America,10.69329994455604,1986
Oceania,22.073400308215927,1986
Other,1.341660401585993,1986
South Asia,21.663684977004152,1986
Southeast Asia,24.882193387933075,1986
Sub-Saharan Africa,22.748085565836934,1986
Central Asia & Mongolia,4.795194862775597,1988
East Asia & China,10.806001862629804,1988
Europe & Russia,6.645315840680706,1988
Latin America & Caribbean,20.653683712684963,1988
MENA,23.191933282389183,1988
North America,10.617281824697384,1988
Oceania,22.549771040835985,1988
Other,2.027588798925797,1988
South Asia,21.697176324036302,1988
Southeast Asia,25.14169198884266,1988
Sub-Saharan Africa,22.663502259972518,1988
Central Asia & Mongolia,4.988527704129229,1992
East Asia & China,11.522885960723372,1992
Europe & Russia,7.587540001563013,1992
Latin America & Caribbean,21.336869418804582,1992
MENA,21.70400879123469,1992
North America,10.35933221053435,1992
Oceania,19.96863664642742,1992
Other,0.8475310142358082,1992
South Asia,22.361520965521873,1992
Southeast Asia,24.962684420199146,1992
Sub-Saharan Africa,22.828797210315912,1992
Central Asia & Mongolia,4.704665738611256,1994
East Asia & China,12.56207111861562,1994
Europe & Russia,7.918030184845901,1994
Latin America & Caribbean,21.73844250172063,1994
MENA,22.59071783106153,1994
North America,10.160261122043448,1994
Oceania,20.14123464084609,1994
Other,0.76841530428258,1994
South Asia,22.255730077024637,1994
Southeast Asia,25.367090037798995,1994
Sub-Saharan Africa,23.019101440654055,1994
Central Asia & Mongolia,3.821503378718396,1996
East Asia & China,11.56227257318121,1996
Europe & Russia,7.389437212149637,1996
Latin America & Caribbean,21.504900280211917,1996
MENA,22.426535839660378,1996
North America,9.481134856960573,1996
Oceania,20.075254179933243,1996
Other,1.0767956803173158,1996
South Asia,22.45400956642816,1996
Southeast Asia,25.38153279660488,1996
Sub-Saharan Africa,22.682067159048962,1996
Central Asia & Mongolia,5.583819286059852,1998
East Asia & China,12.833485041084936,1998
Europe & Russia,8.168095631100348,1998
Latin America & Caribbean,22.079489612793505,1998
MENA,23.372460792947898,1998
North America,11.529514341998771,1998
Oceania,19.779563385653166,1998
Other,1.3468230274110335,1998
South Asia,23.190185701396462,1998
Southeast Asia,26.486428344910575,1998
Sub-Saharan Africa,21.816643850984605,1998
Central Asia & Mongolia,6.7739754125743294,2002
East Asia & China,11.982117095735374,2002
Europe & Russia,9.050240312008883,2002
Latin America & Caribbean,21.774369345586987,2002
MENA,22.81495917948372,2002
